,Filename,SAST,Detected 
68,CWE-347_sonar_1.py,7(CWE-347),7(CWE-347)
69,CWE-347_sonar_2.py,None ,None
70,CWE-347_sonar_3.py,6(CWE-347),6(CWE-347)
71,CWE-352_codeql_1.py,None ,None
72,CWE-367_author_1.py,None ,None
73,CWE-377_codeql_1.py,"7(CWE-377),7(CWE-379) 7(CWE-377)",6(CWE-377)
74,CWE-379_sonar_1.py,"7(CWE-377),7(CWE-379) 7(CWE-377)",7(CWE-377)
75,CWE-384_sonar_1.py,None ,None
76,CWE-385_mitre_1.py,None ,None
77,CWE-400_sonar_1.py,4(CWE-352),None
78,CWE-406_mitre_1.py,None ,None
79,CWE-414_author_1.py,None ,None
80,CWE-425_author_1.py,None ,None
81,CWE-434_pearce_1.py,4(CWE-352),8(CWE-352)
82,CWE-434_pearce_2.py,4(CWE-352),9(CWE-352)
83,CWE-454_author_1.py,11(CWE-259),8(CWE-259)
84,CWE-462_mitre_1.py,None ,None
85,CWE-477_author_1.py,None ,None
86,CWE-488_author_1.py,None ,None
87,CWE-502_author_1.py,1(CWE-502),"3(CWE-502),8(CWE-502)"
88,CWE-502_codeql_1.py,8(CWE-502),8(CWE-502)
89,CWE-502_mitre_1.py,None ,None
90,CWE-502_sonar_1.py,11(CWE-20),11(CWE-20)
91,CWE-521_sonar_1.py,"3(CWE-352),10(CWE-521)",None
92,CWE-521_sonar_2.py,None ,None
93,CWE-522_author_1.py,10(CWE-259),9(CWE-259)
94,CWE-522_pearce_1.py,"5(CWE-352),16(CWE-1240),16(CWE-327),17(CWE-259)",11(CWE-327)
95,CWE-595_author_1.py,None ,None
96,CWE-601_codeql_1.py,3(CWE-352),9(CWE-352)
97,CWE-601_sonar_1.py,None ,None
98,CWE-601_sonar_2.py,2(CWE-352),None
99,CWE-601_sonar_3.py,2(CWE-352),7(CWE-352)
100,CWE-601_sonar_4.py,None ,None
101,CWE-605_author_1.py,8(CWE-605),None
102,CWE-611_author_1.py,"4(CWE-352),15(CWE-611)",10(CWE-611)
103,CWE-611_codeql_1.py,"4(CWE-352),12(CWE-611)",9(CWE-611)
104,CWE-611_sonar_1.py,"7(CWE-611),7(CWE-827),8(CWE-611)",7(CWE-611)
105,CWE-611_sonar_2.py,"6(CWE-611),6(CWE-827),7(CWE-611)",6(CWE-611)
106,CWE-611_sonar_3.py,"8(CWE-611),8(CWE-827),11(CWE-611),11(CWE-827),9(CWE-611)",7(CWE-611)
107,CWE-611_sonar_4.py,7(CWE-611),10(CWE-611)
108,CWE-641_sonar_1.py,3(CWE-352),None
109,CWE-643_codeql_1.py,16(CWE-611),12(CWE-611)
110,CWE-643_sonar_1.py,4(CWE-611),3(CWE-611)
111,CWE-703_author_1.py,None ,None
112,CWE-703_author_2.py,None ,None
113,CWE-703_author_3.py,6(CWE-703),4(CWE-703)
114,CWE-730_author_1.py,None ,None
115,CWE-730_codeql_1.py,None ,None
116,CWE-730_codeql_2.py,None ,None
117,CWE-732_author_1.py,"8(CWE-266),8(CWE-732),8(CWE-732),9(CWE-78),9(CWE-78)",8(CWE-78)
118,CWE-759_mitre_1.py,"6(CWE-1240),6(CWE-327)",6(CWE-327)
119,CWE-760_sonar_1.py,"6(CWE-759),6(CWE-760)",4(CWE-760)
120,CWE-776_codeql_1.py,"4(CWE-352),12(CWE-611)",8(CWE-611)
121,CWE-798_author_1.py,7(CWE-259),6(CWE-259)
122,CWE-798_codeql_1.py,10(CWE-259),8(CWE-259)
123,CWE-827_sonar_1.py,"6(CWE-611),6(CWE-827),7(CWE-611)",6(CWE-611)
124,CWE-835_author_1.py,None ,None
125,CWE-841_mitre_1.py,None ,None
126,CWE-918_codeql_1.py,"4(CWE-352),13(CWE-400)",7(CWE-352)
127,CWE-918_codeql_2.py,"4(CWE-352),13(CWE-400)",None
128,CWE-941_mitre_1.py,None ,None
129,CWE-943_sonar_1.py,None ,None
